    0.0000  -20.2944
    0.0023  -20.2939
    0.0047  -20.2924
    0.0070  -20.2899
    0.0093  -20.2865
    0.0116  -20.2820
    0.0140  -20.2766
    0.0163  -20.2702
    0.0186  -20.2627
    0.0210  -20.2543
    0.0233  -20.2449
    0.0256  -20.2346
    0.0279  -20.2232
    0.0303  -20.2109
    0.0326  -20.1976
    0.0349  -20.1833
    0.0373  -20.1681
    0.0396  -20.1519
    0.0419  -20.1347
    0.0442  -20.1166
    0.0466  -20.0975
    0.0489  -20.0774
    0.0512  -20.0564
    0.0536  -20.0345
    0.0559  -20.0116
    0.0582  -19.9877
    0.0605  -19.9630
    0.0629  -19.9373
    0.0652  -19.9107
    0.0675  -19.8832
    0.0699  -19.8547
    0.0722  -19.8254
    0.0745  -19.7952
    0.0768  -19.7640
    0.0792  -19.7320
    0.0815  -19.6992
    0.0838  -19.6655
    0.0862  -19.6309
    0.0885  -19.5955
    0.0908  -19.5592
    0.0931  -19.5221
    0.0955  -19.4842
    0.0978  -19.4455
    0.1001  -19.4061
    0.1025  -19.3658
    0.1048  -19.3248
    0.1071  -19.2831
    0.1094  -19.2407
    0.1118  -19.1976
    0.1141  -19.1537
    0.1164  -19.1092
    0.1188  -19.0640
    0.1211  -19.0182
    0.1234  -18.9717
    0.1257  -18.9247
    0.1281  -18.8773
    0.1304  -18.8291
    0.1327  -18.7805
    0.1351  -18.7314
    0.1374  -18.6819
    0.1397  -18.6320
    0.1420  -18.5817
    0.1444  -18.5310
    0.1467  -18.4801
    0.1490  -18.4290
    0.1514  -18.3776
    0.1537  -18.3260
    0.1560  -18.2744
    0.1583  -18.2227
    0.1607  -18.1710
    0.1630  -18.1194
    0.1653  -18.0679
    0.1677  -18.0167
    0.1700  -17.9657
    0.1723  -17.9151
    0.1746  -17.8650
    0.1770  -17.8153
    0.1793  -17.7662
    0.1816  -17.7180
    0.1840  -17.6707
    0.1863  -17.6241
    0.1886  -17.5787
    0.1909  -17.5344
    0.1933  -17.4914
    0.1956  -17.4498
    0.1979  -17.4099
    0.2003  -17.3715
    0.2026  -17.3351
    0.2049  -17.3007
    0.2072  -17.2683
    0.2096  -17.2382
    0.2119  -17.2105
    0.2142  -17.1853
    0.2166  -17.1627
    0.2189  -17.1429
    0.2212  -17.1260
    0.2235  -17.1119
    0.2259  -17.1009
    0.2282  -17.0930
    0.2305  -17.0883
    0.2328  -17.0867
    0.2342  -17.0866
    0.2355  -17.0862
    0.2369  -17.0857
    0.2382  -17.0849
    0.2396  -17.0839
    0.2409  -17.0826
    0.2423  -17.0811
    0.2436  -17.0794
    0.2449  -17.0775
    0.2463  -17.0753
    0.2476  -17.0729
    0.2490  -17.0703
    0.2503  -17.0675
    0.2517  -17.0644
    0.2530  -17.0612
    0.2544  -17.0577
    0.2557  -17.0540
    0.2570  -17.0501
    0.2584  -17.0460
    0.2597  -17.0416
    0.2611  -17.0371
    0.2624  -17.0323
    0.2638  -17.0274
    0.2651  -17.0222
    0.2665  -17.0168
    0.2678  -17.0113
    0.2691  -17.0055
    0.2705  -16.9996
    0.2718  -16.9935
    0.2732  -16.9871
    0.2745  -16.9806
    0.2759  -16.9740
    0.2772  -16.9671
    0.2786  -16.9601
    0.2799  -16.9528
    0.2812  -16.9455
    0.2826  -16.9379
    0.2839  -16.9302
    0.2853  -16.9224
    0.2866  -16.9144
    0.2880  -16.9062
    0.2893  -16.8980
    0.2907  -16.8896
    0.2920  -16.8810
    0.2933  -16.8724
    0.2947  -16.8636
    0.2960  -16.8548
    0.2974  -16.8458
    0.2987  -16.8367
    0.3001  -16.8275
    0.3014  -16.8182
    0.3028  -16.8089
    0.3041  -16.7995
    0.3054  -16.7900
    0.3068  -16.7804
    0.3081  -16.7708
    0.3095  -16.7612
    0.3108  -16.7515
    0.3122  -16.7418
    0.3135  -16.7321
    0.3149  -16.7224
    0.3162  -16.7126
    0.3175  -16.7029
    0.3189  -16.6933
    0.3202  -16.6836
    0.3216  -16.6740
    0.3229  -16.6644
    0.3243  -16.6549
    0.3256  -16.6455
    0.3270  -16.6361
    0.3283  -16.6269
    0.3296  -16.6177
    0.3310  -16.6087
    0.3323  -16.5999
    0.3337  -16.5911
    0.3350  -16.5826
    0.3364  -16.5742
    0.3377  -16.5660
