  0.00000000E+00 -0.22017617E+02
  0.14630364E-01 -0.22017132E+02
  0.29260727E-01 -0.22015667E+02
  0.43891091E-01 -0.22013207E+02
  0.58521454E-01 -0.22009741E+02
  0.73151818E-01 -0.22005269E+02
  0.87782182E-01 -0.21999811E+02
  0.10241255E+00 -0.21993393E+02
  0.11704291E+00 -0.21986033E+02
  0.13167327E+00 -0.21977731E+02
  0.14630364E+00 -0.21968466E+02
  0.16093400E+00 -0.21958210E+02
  0.17556436E+00 -0.21946941E+02
  0.19019473E+00 -0.21934656E+02
  0.20482509E+00 -0.21921376E+02
  0.21945545E+00 -0.21907129E+02
  0.23408582E+00 -0.21891943E+02
  0.24871618E+00 -0.21875826E+02
  0.26334654E+00 -0.21858772E+02
  0.27797691E+00 -0.21840767E+02
  0.29260727E+00 -0.21821797E+02
  0.30723764E+00 -0.21801863E+02
  0.32186800E+00 -0.21780976E+02
  0.33649836E+00 -0.21759151E+02
  0.35112873E+00 -0.21736398E+02
  0.36575909E+00 -0.21712719E+02
  0.38038945E+00 -0.21688108E+02
  0.39501982E+00 -0.21662563E+02
  0.40965018E+00 -0.21636089E+02
  0.42428054E+00 -0.21608699E+02
  0.43891091E+00 -0.21580411E+02
  0.45354127E+00 -0.21551240E+02
  0.46817163E+00 -0.21521193E+02
  0.48280200E+00 -0.21490274E+02
  0.49743236E+00 -0.21458483E+02
  0.51206273E+00 -0.21425824E+02
  0.52669309E+00 -0.21392306E+02
  0.54132345E+00 -0.21357939E+02
  0.55595382E+00 -0.21322731E+02
  0.57058418E+00 -0.21286690E+02
  0.58521454E+00 -0.21249823E+02
  0.59984491E+00 -0.21212143E+02
  0.61447527E+00 -0.21173669E+02
  0.62910563E+00 -0.21134424E+02
  0.64373600E+00 -0.21094432E+02
  0.65836636E+00 -0.21053706E+02
  0.67299673E+00 -0.21012254E+02
  0.68762709E+00 -0.20970079E+02
  0.70225745E+00 -0.20927189E+02
  0.71688782E+00 -0.20883601E+02
  0.73151818E+00 -0.20839341E+02
  0.74614854E+00 -0.20794439E+02
  0.76077891E+00 -0.20748920E+02
  0.77540927E+00 -0.20702802E+02
  0.79003963E+00 -0.20656102E+02
  0.80467000E+00 -0.20608840E+02
  0.81930036E+00 -0.20561047E+02
  0.83393072E+00 -0.20512762E+02
  0.84856109E+00 -0.20464024E+02
  0.86319145E+00 -0.20414867E+02
  0.87782182E+00 -0.20365310E+02
  0.89245218E+00 -0.20315372E+02
  0.90708254E+00 -0.20265080E+02
  0.92171291E+00 -0.20214478E+02
  0.93634327E+00 -0.20163633E+02
  0.95097363E+00 -0.20112621E+02
  0.96560400E+00 -0.20061506E+02
  0.98023436E+00 -0.20010335E+02
  0.99486472E+00 -0.19959132E+02
  0.10094951E+01 -0.19907920E+02
  0.10241255E+01 -0.19856738E+02
  0.10387558E+01 -0.19805656E+02
  0.10533862E+01 -0.19754778E+02
  0.10680165E+01 -0.19704217E+02
  0.10826469E+01 -0.19654082E+02
  0.10972773E+01 -0.19604455E+02
  0.11119076E+01 -0.19555400E+02
  0.11265380E+01 -0.19506972E+02
  0.11411684E+01 -0.19459242E+02
  0.11557987E+01 -0.19412305E+02
  0.11704291E+01 -0.19366284E+02
  0.11850595E+01 -0.19321314E+02
  0.11996898E+01 -0.19277531E+02
  0.12143202E+01 -0.19235060E+02
  0.12289505E+01 -0.19194024E+02
  0.12435809E+01 -0.19154547E+02
