1.7169,-2.2444,1.6664,-2.3294,0.38001
0.010744,0.1905,0.023486,0.19006,-0.061751
0.025674,0.014761,0.027356,0.021177,-0.024496
0.025674,0.014761,0.027356,0.021177,-0.015935
-0.04408,-0.037273,-0.041889,-0.036674,-0.011562
-0.001946,-0.002561,-0.001232,-0.002006,-0.004549
-0.001946,-0.002561,-0.001232,-0.002006,-0.00291
-0.002376,-0.004157,-0.002032,-0.00392,-0.000441
0.001006,0.000335,0.001324,0.00053,-0.000692
0.001006,0.000335,0.001324,0.00053,-0.000469
-0.00066,-0.000591,-0.000816,-0.000638,0.000455
-0.00066,-0.000591,-0.000816,-0.000638,0.000434
